run,seed,episode,outcome,failure_mode,steps,final_dist_xy,final_dist_z,min_dist_xy,min_dist_z,success_shape_yaw_error_deg,final_shape_yaw_error_deg,final_peg_tilt_angle_deg,low_z_misaligned_steps,insert_band_misaligned_steps,visual_yaw_align_steps,visual_yaw_align_blocked_steps,final_servo_descent_steps,final_servo_recovery_triggers,fixture_clearance_steps,last_pre_dist_xy,last_pre_z_above_target,last_true_signed_yaw_deg,last_pred_signed_yaw_deg,last_pose_ik_target_square_yaw_error_deg,last_final_servo_phase,last_visual_yaw_reason,top_visual_yaw_reasons,temporal_gate_steps,low_visibility_brake_steps,target_hold_steps,aligned_descent_steps,blocked_down_rows,visible_prediction_rows,high_pred_rows,sign_mismatch_rows,high_error_rows,correct_high_yaw_visible_rows,correct_high_yaw_xy_gate_rows,correct_high_yaw_raw_norm_gate_rows,correct_high_yaw_inactive_rows,max_pred_abs_yaw_deg,max_truth_abs_yaw_deg,max_pred_truth_abs_error_deg,final_window_pred_abs_mean_deg,final_window_truth_abs_mean_deg,final_window_pred_truth_abs_error_mean_deg
wrong_basin_hold_xy60,906516,16,success,success,221,0.002279,0.009409,0.000208,0.009409,2.304,2.304,0.066,0,0,137,50,60,0,0,0.002113,0.011055,2.304,-2.031,nan,square_fast_settle,aligned_descent_latch,applied:97;inactive_phase:84;aligned_descent:28,0,0,0,39,50,137,9,0,0,6,0,0,0,165.651,171.743,25.498,1.859,1.287,2.432
wrong_basin_hold_xy60,906517,17,timeout,timeout_wrong_yaw_basin,1000,0.151662,0.064221,0.015108,0.053890,172.186,172.186,2.008,0,0,50,67,0,2,0,0.153021,0.064637,-172.186,178.229,nan,recover_recenter,xy_gate,xy_gate:471;inactive_phase:272;raw_norm_gate:190,0,17,0,0,67,50,254,134,19,47,0,0,0,179.974,178.964,67.539,176.820,173.425,9.639
wrong_basin_hold_xy60,906518,18,success,success,253,0.001462,0.008857,0.000294,0.008857,0.372,0.372,0.059,0,0,127,44,63,0,0,0.001457,0.010221,0.372,-1.255,nan,square_fast_settle,aligned_descent_latch,inactive_phase:126;applied:72;aligned_descent_latch:36,0,0,0,55,44,127,8,0,0,5,0,0,0,178.867,173.748,24.479,1.798,0.840,2.638
wrong_basin_hold_xy60,906519,19,success,success,267,0.001931,0.009463,0.000356,0.009463,1.501,1.501,0.043,0,0,120,52,67,0,0,0.002021,0.010771,1.501,-2.388,nan,square_fast_settle,aligned_descent_latch,inactive_phase:131;applied:65;aligned_descent_latch:36,0,0,16,55,52,136,9,0,0,6,0,0,0,176.325,175.635,26.102,1.808,0.760,2.248
wrong_basin_hold_xy60,908500,0,success,success,234,0.001671,0.009914,0.000208,0.009914,0.856,0.856,0.042,0,0,134,51,55,0,0,0.001757,0.011377,0.856,-2.162,nan,square_fast_settle,aligned_descent_latch,inactive_phase:100;applied:80;aligned_descent:49,0,0,0,53,51,134,9,0,1,5,0,0,0,170.752,177.789,30.249,1.735,1.856,3.591
wrong_basin_hold_xy60,908501,1,success,success,326,0.002421,0.009949,0.001054,0.009949,5.664,5.664,0.034,0,0,163,80,58,0,0,0.002347,0.011384,5.664,-4.732,nan,square_fast_settle,applied,inactive_phase:136;applied:105;aligned_descent_latch:55,0,1,25,58,80,188,10,0,1,4,0,0,0,178.970,179.968,33.745,2.172,2.235,2.851
wrong_basin_hold_xy60,908502,2,success,success,308,0.001794,0.008432,0.000645,0.008432,1.874,1.874,0.040,0,0,123,40,58,0,0,0.001830,0.010041,1.874,-1.812,nan,square_fast_settle,aligned_descent,inactive_phase:185;applied:74;aligned_descent_latch:32,0,0,0,49,40,123,11,0,0,8,0,0,0,175.080,179.958,21.734,1.861,1.324,3.175
wrong_basin_hold_xy60,908503,3,timeout,timeout_wrong_yaw_basin,1000,0.085850,0.105181,0.023084,0.079734,175.407,175.407,4.435,0,0,49,50,0,2,0,0.086798,0.105343,-175.407,-155.091,nan,recover_recenter,raw_norm_gate,inactive_phase:373;raw_norm_gate:296;xy_gate:281,0,1,0,0,50,49,322,11,20,23,0,0,0,179.979,177.762,52.582,138.947,150.062,19.681
wrong_basin_hold_xy60,908504,4,success,success,357,0.000792,0.009459,0.000162,0.009459,1.038,1.038,0.070,0,0,117,53,66,0,0,0.000595,0.010760,1.038,-1.962,nan,square_fast_settle,aligned_descent_latch,inactive_phase:223;applied:59;aligned_descent_latch:47,0,0,17,59,53,134,8,0,0,5,0,0,0,175.996,175.553,25.734,1.516,0.734,2.061
wrong_basin_hold_xy60,908505,5,success,success,303,0.001428,0.009210,0.000132,0.009210,8.583,8.583,0.030,0,0,113,56,59,0,0,0.001400,0.010631,8.583,-0.115,nan,square_fast_settle,aligned_descent,inactive_phase:171;applied:65;aligned_descent_latch:32,0,0,18,55,56,131,10,0,1,6,0,0,0,172.108,174.568,46.836,1.463,10.762,12.155
