candidate,scenario,level,episodes,success_rate,collision_rate,timeout_rate,mean_return,mean_steps,mean_guarded_steps,mean_guarded_step_fraction,guarded_episode_rate,guard_enabled,mean_final_dist_xy,mean_final_dist_z,scenario_filter,guard_start_xy,guard_start_z,guard_risk_xy,guard_blend,guard_action_gain,guarded_align_xy_tolerance,guarded_insert_xy_tolerance,guarded_retract_xy_tolerance,guarded_preinsert_height,guarded_max_xy_action,guarded_max_down_action,guarded_max_up_action,guarded_prediction_steps,control_scale_range,control_noise_std_range,control_delay_range,control_filter_alpha_range
guard_xy060_z100_blend075_down0035_align025,full_light_geometry,full_light_geometry,30,0.7666666666666667,0.16666666666666666,0.06666666666666667,79.8803401987312,40.5,39.333333333333336,0.9711934156378601,0.9333333333333333,True,0.010538953539628923,0.021944762764490103,geometry,0.06,0.1,0.0,0.75,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z100_blend050_down0035_align025,full_light_geometry,full_light_geometry,30,0.6,0.4,0.03333333333333333,2.510755986800097,45.43333333333333,44.266666666666666,0.9743213499633163,0.9333333333333333,True,0.013760621842355427,0.029542381497545216,geometry,0.06,0.1,0.0,0.5,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z100_blend100_down0025_align025,full_light_geometry,full_light_geometry,30,0.6666666666666666,0.2,0.13333333333333333,59.14005494692797,52.233333333333334,51.06666666666667,0.9776643267389917,0.9333333333333333,True,0.01137309040244172,0.030006362563816006,geometry,0.06,0.1,0.0,1.0,1.0,0.025,0.005,0.012,0.0,0.005,0.0025,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z100_blend100_down0045_align025,full_light_geometry,full_light_geometry,30,0.7333333333333333,0.2,0.06666666666666667,57.14588229881861,38.666666666666664,37.5,0.9698275862068966,0.9333333333333333,True,0.01137805320415476,0.023278685556526648,geometry,0.06,0.1,0.0,1.0,1.0,0.025,0.005,0.012,0.0,0.005,0.0045,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z100_blend100_down0035_align020,full_light_geometry,full_light_geometry,30,0.6,0.3333333333333333,0.06666666666666667,15.078405632283356,44.03333333333333,42.86666666666667,0.9735049205147616,0.9333333333333333,True,0.013266047112734988,0.030283337061778753,geometry,0.06,0.1,0.0,1.0,1.0,0.02,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z100_blend100_down0035_align015,full_light_geometry,full_light_geometry,30,0.6,0.36666666666666664,0.03333333333333333,2.471623944985832,35.733333333333334,34.56666666666667,0.9673507462686568,0.9333333333333333,True,0.014359809124658821,0.02809910086284337,geometry,0.06,0.1,0.0,1.0,1.0,0.015,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
no_guard,full_contact_light,full_contact_light,30,0.7,0.3,0.0,14.263300137026745,14.566666666666666,0.0,0.0,0.0,False,0.013126602777595373,0.02034292379500979,none,0.06,0.1,0.0,1.0,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z100_blend100_down0035_align025,full_contact_light,full_contact_light,30,0.7333333333333333,0.23333333333333334,0.03333333333333333,34.18591672021058,26.733333333333334,25.666666666666668,0.9600997506234414,0.9333333333333333,True,0.012038410260361303,0.019292636002933235,geometry,0.06,0.1,0.0,1.0,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy040_z100_blend100_down0035_align025,full_contact_light,full_contact_light,30,0.7,0.23333333333333334,0.06666666666666667,37.05581745164357,32.166666666666664,29.533333333333335,0.9181347150259068,0.9,True,0.012778114806640522,0.02345939723402881,geometry,0.04,0.1,0.0,1.0,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy050_z100_blend100_down0035_align025,full_contact_light,full_contact_light,30,0.7,0.23333333333333334,0.06666666666666667,36.842077311460685,32.53333333333333,30.666666666666668,0.9426229508196722,0.9333333333333333,True,0.012256485418476914,0.021779428927564796,geometry,0.05,0.1,0.0,1.0,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy070_z100_blend100_down0035_align025,full_contact_light,full_contact_light,30,0.7666666666666667,0.2,0.03333333333333333,49.0060136663218,26.866666666666667,26.066666666666666,0.9702233250620347,0.9666666666666667,True,0.011122850423929255,0.017678570596398723,geometry,0.07,0.1,0.0,1.0,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z060_blend100_down0035_align025,full_contact_light,full_contact_light,30,0.6666666666666666,0.3,0.03333333333333333,7.991407544694041,26.8,21.533333333333335,0.8034825870646767,0.9333333333333333,True,0.01360944954216599,0.02352464547807872,geometry,0.06,0.06,0.0,1.0,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z080_blend100_down0035_align025,full_contact_light,full_contact_light,30,0.7333333333333333,0.23333333333333334,0.03333333333333333,34.186756067141005,26.733333333333334,25.666666666666668,0.9600997506234414,0.9333333333333333,True,0.012038439130781946,0.019292620908414368,geometry,0.06,0.08,0.0,1.0,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z100_blend075_down0035_align025,full_contact_light,full_contact_light,30,0.7666666666666667,0.2,0.03333333333333333,54.68001063028155,28.066666666666666,27.0,0.9619952494061758,0.9333333333333333,True,0.011913470964834975,0.019498114636982953,geometry,0.06,0.1,0.0,0.75,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z100_blend050_down0035_align025,full_contact_light,full_contact_light,30,0.7666666666666667,0.23333333333333334,0.0,46.91954429041928,23.466666666666665,22.4,0.9545454545454546,0.9333333333333333,True,0.011867590373414505,0.018089377685017206,geometry,0.06,0.1,0.0,0.5,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z100_blend100_down0025_align025,full_contact_light,full_contact_light,30,0.7333333333333333,0.2,0.06666666666666667,52.08367754266417,32.86666666666667,31.8,0.9675456389452333,0.9333333333333333,True,0.01170041404143054,0.022621925765419652,geometry,0.06,0.1,0.0,1.0,1.0,0.025,0.005,0.012,0.0,0.005,0.0025,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z100_blend100_down0045_align025,full_contact_light,full_contact_light,30,0.6666666666666666,0.23333333333333334,0.1,42.66242071889021,38.43333333333333,37.36666666666667,0.9722463139635734,0.9333333333333333,True,0.01246847298541851,0.02467895540006469,geometry,0.06,0.1,0.0,1.0,1.0,0.025,0.005,0.012,0.0,0.005,0.0045,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z100_blend100_down0035_align020,full_contact_light,full_contact_light,30,0.6666666666666666,0.3,0.03333333333333333,16.541149875046138,32.4,31.333333333333332,0.9670781893004116,0.9333333333333333,True,0.0131625752003305,0.02402970941056653,geometry,0.06,0.1,0.0,1.0,1.0,0.02,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
guard_xy060_z100_blend100_down0035_align015,full_contact_light,full_contact_light,30,0.6,0.36666666666666664,0.03333333333333333,-4.643311848321887,29.666666666666668,28.6,0.9640449438202248,0.9333333333333333,True,0.014733178713662263,0.027273133897415206,geometry,0.06,0.1,0.0,1.0,1.0,0.015,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.2,0.0:0.0008,0:2,0.55:1.0
no_guard,hard_full_light_bucket,full_light_geometry,30,0.4,0.6,0.0,-111.34096853159124,17.666666666666668,0.0,0.0,0.0,False,0.022997439142229816,0.02975132850933464,none,0.06,0.1,0.0,1.0,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
guard_xy060_z100_blend100_down0035_align025,hard_full_light_bucket,full_light_geometry,30,0.4666666666666667,0.5333333333333333,0.0,-89.16032236005506,21.6,20.366666666666667,0.9429012345679012,0.9,True,0.021844798499413152,0.030723600060066792,geometry,0.06,0.1,0.0,1.0,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
guard_xy040_z100_blend100_down0035_align025,hard_full_light_bucket,full_light_geometry,30,0.43333333333333335,0.5666666666666667,0.0,-100.09465674739823,25.966666666666665,22.7,0.8741976893453145,0.7666666666666667,True,0.022571837694714533,0.03278488981764167,geometry,0.04,0.1,0.0,1.0,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
guard_xy050_z100_blend100_down0035_align025,hard_full_light_bucket,full_light_geometry,30,0.43333333333333335,0.5666666666666667,0.0,-104.28793535850667,21.8,19.6,0.8990825688073395,0.8666666666666667,True,0.02223545473725975,0.031567031557159474,geometry,0.05,0.1,0.0,1.0,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
guard_xy070_z100_blend100_down0035_align025,hard_full_light_bucket,full_light_geometry,30,0.4666666666666667,0.5333333333333333,0.0,-89.26593356820123,21.666666666666668,20.766666666666666,0.9584615384615384,0.9333333333333333,True,0.021980113118339577,0.03073172173806194,geometry,0.07,0.1,0.0,1.0,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
guard_xy060_z060_blend100_down0035_align025,hard_full_light_bucket,full_light_geometry,30,0.4,0.6,0.0,-117.52878196115115,21.3,16.333333333333332,0.7668231611893583,0.9,True,0.02322806527945596,0.030866212931058314,geometry,0.06,0.06,0.0,1.0,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
guard_xy060_z080_blend100_down0035_align025,hard_full_light_bucket,full_light_geometry,30,0.4666666666666667,0.5333333333333333,0.0,-89.16043587318899,21.6,20.366666666666667,0.9429012345679012,0.9,True,0.021844770890580047,0.030723650840718392,geometry,0.06,0.08,0.0,1.0,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
guard_xy060_z100_blend075_down0035_align025,hard_full_light_bucket,full_light_geometry,30,0.5333333333333333,0.43333333333333335,0.03333333333333333,-46.70627648531679,21.933333333333334,20.7,0.9437689969604863,0.9,True,0.01990919337925575,0.028029490295519856,geometry,0.06,0.1,0.0,0.75,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
guard_xy060_z100_blend050_down0035_align025,hard_full_light_bucket,full_light_geometry,30,0.5333333333333333,0.4666666666666667,0.0,-55.20589271616209,20.1,18.866666666666667,0.9386401326699834,0.9,True,0.02030765500959725,0.02793459724690862,geometry,0.06,0.1,0.0,0.5,1.0,0.025,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
guard_xy060_z100_blend100_down0025_align025,hard_full_light_bucket,full_light_geometry,30,0.4666666666666667,0.5333333333333333,0.0,-91.80339814193707,18.933333333333334,17.7,0.9348591549295774,0.9,True,0.021760291461520656,0.030161887052877707,geometry,0.06,0.1,0.0,1.0,1.0,0.025,0.005,0.012,0.0,0.005,0.0025,0.005,1.0,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
guard_xy060_z100_blend100_down0045_align025,hard_full_light_bucket,full_light_geometry,30,0.4666666666666667,0.5,0.03333333333333333,-78.21965441972947,21.666666666666668,20.433333333333334,0.943076923076923,0.9,True,0.021662912551587532,0.030713301183713224,geometry,0.06,0.1,0.0,1.0,1.0,0.025,0.005,0.012,0.0,0.005,0.0045,0.005,1.0,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
guard_xy060_z100_blend100_down0035_align020,hard_full_light_bucket,full_light_geometry,30,0.43333333333333335,0.5666666666666667,0.0,-108.05231115502934,15.233333333333333,14.0,0.9190371991247265,0.9,True,0.022392980590326503,0.030563831768648495,geometry,0.06,0.1,0.0,1.0,1.0,0.02,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
guard_xy060_z100_blend100_down0035_align015,hard_full_light_bucket,full_light_geometry,30,0.4,0.6,0.0,-117.24694479234917,14.766666666666667,13.533333333333333,0.9164785553047403,0.9,True,0.023009666568460877,0.03195440143045284,geometry,0.06,0.1,0.0,1.0,1.0,0.015,0.005,0.012,0.0,0.005,0.0035,0.005,1.0,0.8:1.1,0.0:0.00025,2:2,0.55:0.7
