profile,clearance_mm,yaw_error_deg,canonical_yaw_error_deg,period_deg,passes_geometry,min_margin_mm,clearance_reference
triangle_triangle,2.0,0.0,0.0,120.0,True,1.9999999999999978,hole apothem - peg apothem
triangle_triangle,2.0,1.0,1.0,120.0,True,1.8195431010793484,hole apothem - peg apothem
triangle_triangle,2.0,2.0,2.0,120.0,True,1.640968829201539,hole apothem - peg apothem
triangle_triangle,2.0,3.0,3.0,120.0,True,1.4643315798196739,hole apothem - peg apothem
triangle_triangle,2.0,5.0,5.0,120.0,True,1.1170827637874459,hole apothem - peg apothem
triangle_triangle,2.0,8.0,8.0,120.0,True,0.612062296092099,hole apothem - peg apothem
triangle_triangle,2.0,10.0,10.0,120.0,True,0.28654868376152715,hole apothem - peg apothem
triangle_triangle,2.0,15.0,15.0,120.0,False,-0.4852813742385714,hole apothem - peg apothem
triangle_triangle,3.0,0.0,0.0,120.0,True,2.9999999999999956,hole apothem - peg apothem
triangle_triangle,3.0,1.0,1.0,120.0,True,2.8195431010793484,hole apothem - peg apothem
triangle_triangle,3.0,2.0,2.0,120.0,True,2.640968829201539,hole apothem - peg apothem
triangle_triangle,3.0,3.0,3.0,120.0,True,2.4643315798196737,hole apothem - peg apothem
triangle_triangle,3.0,5.0,5.0,120.0,True,2.117082763787445,hole apothem - peg apothem
triangle_triangle,3.0,8.0,8.0,120.0,True,1.6120622960920987,hole apothem - peg apothem
triangle_triangle,3.0,10.0,10.0,120.0,True,1.2865486837615268,hole apothem - peg apothem
triangle_triangle,3.0,15.0,15.0,120.0,True,0.5147186257614283,hole apothem - peg apothem
triangle_triangle,4.0,0.0,0.0,120.0,True,3.9999999999999947,hole apothem - peg apothem
triangle_triangle,4.0,1.0,1.0,120.0,True,3.819543101079348,hole apothem - peg apothem
triangle_triangle,4.0,2.0,2.0,120.0,True,3.6409688292015394,hole apothem - peg apothem
triangle_triangle,4.0,3.0,3.0,120.0,True,3.464331579819674,hole apothem - peg apothem
triangle_triangle,4.0,5.0,5.0,120.0,True,3.117082763787446,hole apothem - peg apothem
triangle_triangle,4.0,8.0,8.0,120.0,True,2.612062296092099,hole apothem - peg apothem
triangle_triangle,4.0,10.0,10.0,120.0,True,2.286548683761527,hole apothem - peg apothem
triangle_triangle,4.0,15.0,15.0,120.0,True,1.5147186257614287,hole apothem - peg apothem
hex_hex,0.25,0.0,0.0,60.0,True,0.2499999999999984,hole apothem - peg apothem
hex_hex,0.25,1.0,1.0,60.0,True,0.14686835974051404,hole apothem - peg apothem
hex_hex,0.25,2.0,2.0,60.0,True,0.0469337311061399,hole apothem - peg apothem
hex_hex,0.25,3.0,3.0,60.0,False,-0.049773444847150385,hole apothem - peg apothem
hex_hex,0.25,5.0,5.0,60.0,False,-0.23338859902653608,hole apothem - peg apothem
hex_hex,0.25,8.0,8.0,60.0,False,-0.4839014093881857,hole apothem - peg apothem
hex_hex,0.25,10.0,10.0,60.0,False,-0.6340066040176368,hole apothem - peg apothem
hex_hex,0.25,15.0,15.0,60.0,False,-0.9488050700555565,hole apothem - peg apothem
hex_hex,0.5,0.0,0.0,60.0,True,0.4999999999999986,hole apothem - peg apothem
hex_hex,0.5,1.0,1.0,60.0,True,0.3968683597405137,hole apothem - peg apothem
hex_hex,0.5,2.0,2.0,60.0,True,0.29693373110614013,hole apothem - peg apothem
hex_hex,0.5,3.0,3.0,60.0,True,0.20022655515284937,hole apothem - peg apothem
hex_hex,0.5,5.0,5.0,60.0,True,0.01661140097346402,hole apothem - peg apothem
hex_hex,0.5,8.0,8.0,60.0,False,-0.23390140938818543,hole apothem - peg apothem
hex_hex,0.5,10.0,10.0,60.0,False,-0.3840066040176373,hole apothem - peg apothem
hex_hex,0.5,15.0,15.0,60.0,False,-0.6988050700555566,hole apothem - peg apothem
hex_hex,0.75,0.0,0.0,60.0,True,0.7499999999999989,hole apothem - peg apothem
hex_hex,0.75,1.0,1.0,60.0,True,0.6468683597405139,hole apothem - peg apothem
hex_hex,0.75,2.0,2.0,60.0,True,0.5469337311061404,hole apothem - peg apothem
hex_hex,0.75,3.0,3.0,60.0,True,0.45022655515284965,hole apothem - peg apothem
hex_hex,0.75,5.0,5.0,60.0,True,0.26661140097346425,hole apothem - peg apothem
hex_hex,0.75,8.0,8.0,60.0,True,0.01609859061181482,hole apothem - peg apothem
hex_hex,0.75,10.0,10.0,60.0,False,-0.13400660401763698,hole apothem - peg apothem
hex_hex,0.75,15.0,15.0,60.0,False,-0.4488050700555563,hole apothem - peg apothem
hex_hex,1.0,0.0,0.0,60.0,True,0.9999999999999989,hole apothem - peg apothem
hex_hex,1.0,1.0,1.0,60.0,True,0.8968683597405144,hole apothem - peg apothem
hex_hex,1.0,2.0,2.0,60.0,True,0.7969337311061407,hole apothem - peg apothem
hex_hex,1.0,3.0,3.0,60.0,True,0.7002265551528499,hole apothem - peg apothem
hex_hex,1.0,5.0,5.0,60.0,True,0.5166114009734646,hole apothem - peg apothem
hex_hex,1.0,8.0,8.0,60.0,True,0.26609859061181507,hole apothem - peg apothem
hex_hex,1.0,10.0,10.0,60.0,True,0.11599339598236322,hole apothem - peg apothem
hex_hex,1.0,15.0,15.0,60.0,False,-0.19880507005555614,hole apothem - peg apothem
hex_hex,1.5,0.0,0.0,60.0,True,1.4999999999999976,hole apothem - peg apothem
hex_hex,1.5,1.0,1.0,60.0,True,1.3968683597405125,hole apothem - peg apothem
hex_hex,1.5,2.0,2.0,60.0,True,1.296933731106139,hole apothem - peg apothem
hex_hex,1.5,3.0,3.0,60.0,True,1.2002265551528484,hole apothem - peg apothem
hex_hex,1.5,5.0,5.0,60.0,True,1.016611400973463,hole apothem - peg apothem
hex_hex,1.5,8.0,8.0,60.0,True,0.7660985906118137,hole apothem - peg apothem
hex_hex,1.5,10.0,10.0,60.0,True,0.6159933959823617,hole apothem - peg apothem
hex_hex,1.5,15.0,15.0,60.0,True,0.3011949299444422,hole apothem - peg apothem
hex_hex,2.0,0.0,0.0,60.0,True,1.9999999999999978,hole apothem - peg apothem
hex_hex,2.0,1.0,1.0,60.0,True,1.8968683597405134,hole apothem - peg apothem
